date, pm25, pm10, o3, no2, so2, co
2023/6/22, 58, 17, 30, 52, 3, 14
2023/6/23, 73, 23, 32, 57, 3, 16
2023/6/24, 73, 25, 39, 57, 4, 16
2023/6/25, 70, 22, 40, 42, 4, 16
2023/6/26, 62, 20, 33, 41, 3, 16
2023/6/27, 55, 16, 27, 32, 3, 15
2023/6/28, 51, 15, 29, 26, 4, 16
2023/6/29, 54, 15, 31, 37, 4, 17
2023/6/30, 46, 13, 28, 23, 3, 15
2023/1/2, 163, 74, 6, 94, 4, 46
2023/1/3, 179, 77, 9, 81, 6, 45
2023/1/4, 184, 66, 7, 59, 5, 36
2023/1/5, 157, 70, 7, 81, 9, 44
2023/1/6, 172, 72, 8, 67, 7, 39
2023/1/7, 166, 63, 10, 61, 8, 40
2023/1/8, 155, 64, 8, 76, 5, 42
2023/1/9, 155, 59, 17, 34, 3, 36
2023/1/10, 143, 24, 16, 52, 3, 36
2023/1/11, 72, 27, 6, 76, 6, 43
2023/1/12, 113, 64, 6, 75, 8, 49
2023/1/13, 168, 66, 4, 64, 9, 40
2023/1/14, 119, 81, 6, 56, 11, 43
2023/1/15, 155, 75, 8, 65, 7, 45
2023/1/16, 159, 52, 14, 29, 1, 39
2023/1/17, 135, 18, 15, 20, 2, 36
2023/1/18, 56, 17, 17, 19, 5, 36
2023/1/19, 51, 15, 16, 25, 4, 37
2023/1/20, 52, 25, 14, 30, 4, 39
2023/1/21, 75, 28, 12, 34, 6, 40
2023/1/22, 74, 40, 6, 78, 6, 50
2023/1/23, 138, 60, 8, 46, 10, 44
2023/1/24, 151, 49, 8, 28, 4, 39
2023/1/25, 108, 45, 8, 38, 5, 42
2023/1/26, 99, 37, 12, 50, 4, 42
2023/1/27, 92, 27, 9, 56, 1, 45
2023/1/28, 97, 33, 9, 39, 3, 47
2023/1/29, 128, 29, 8, 38, 5, 42
2023/1/30, 63, 38, 6, 41, 7, 43
2023/1/31, 75, 32, 6, 38, 5, 41
2023/2/1, 64, 45, 7, 51, 6, 47
2023/2/2, 97, 45, 4, 42, 5, 45
2023/2/3, 108, 45, 4, 41, 4, 46
2023/2/4, 94, 39, 7, 32, 5, 46
2023/2/5, 101, 25, 9, 18, 3, 41
2023/2/6, 25, 57, 11, 31, 4, 41
2023/2/7, 35, 67, 15, 25, 5, 42
2023/2/8, 47, 33, 14, 29, 4, 42
2023/2/9, 45, 29, 16, 30, 5, 42
2023/2/10, 53, 32, 14, 25, 5, 42
2023/2/11, 54, 48, , 32, 7, 43
2023/2/12, 67, 50, 11, 28, 5, 43
2023/2/13, 70, 37, 5, 41, 7, 45
2023/2/14, 63, 46, 10, 24, 4, 43
2023/2/15, 66, 36, 9, 34, 6, 41
2023/2/16, 53, 55, 16, 50, 7, 51
2023/2/17, 115, 48, 16, 16, 4, 48
2023/2/18, 110, 38, 18, 9, 3, 46
2023/2/19, 87, 90, 18, 12, 4, 47
2023/2/20, 65, 52, 16, , 5, 49
2023/2/21, 69, 48, 18, 18, 4, 50
2023/2/22, 84, 53, 17, 18, 5, 52
2023/2/23, 104, 66, 17, , 5, 51
2023/2/24, 90, 52, 19, , 3, 
2023/3/2, 102, 56, 15, 44, 5, 56
2023/3/3, 85, 40, 13, 48, 4, 58
2023/3/4, 88, 34, 14, 33, 3, 56
2023/3/5, 81, 20, 17, 47, 3, 58
2023/3/6, 72, 24, 17, 33, 3, 57
2023/3/7, 69, 27, 19, 30, 4, 56
2023/3/8, 65, 24, 19, 31, 4, 56
2023/3/9, 62, 22, 18, 21, 3, 55
2023/3/10, 55, 18, 18, 21, 3, 55
2023/3/11, 52, 20, 16, 32, 4, 56
2023/3/12, 59, 20, 16, 26, 4, 54
2023/3/13, 47, 43, 15, 38, 4, 54
2023/3/14, 46, 59, 18, 44, 5, 57
2023/3/15, 77, 34, 17, 40, 3, 55
2023/3/16, 58, 81, 12, 33, 5, 56
2023/3/17, 61, 23, 13, 30, 3, 55
2023/3/18, 36, 15, 9, 24, 4, 54
2023/3/19, 36, 19, 15, 35, 4, 55
2023/3/20, 45, 41, 11, 91, 8, 64
2023/3/21, 104, 45, 14, 61, 4, 59
2023/3/22, 117, 22, 17, 69, 5, 55
2023/3/23, 36, 21, 18, 50, 4, 51
2022/10/1, 80, 32, 13, 32, 3, 14
2022/10/2, 81, 19, 13, 31, 3, 12
2022/10/3, 40, 16, 12, 28, 3, 12
2022/10/4, 38, 17, 15, 31, 3, 12
2022/10/5, 37, 22, 13, 38, 3, 13
2022/10/6, 38, 18, 12, 32, 3, 13
2022/10/7, 47, 18, 11, 37, 3, 14
2022/10/8, 48, 14, 12, 32, , 14
2022/10/9, 57, , 13, 46, 3, 15
2022/10/10, 63, 874, 14, 55, 4, 17
2022/10/11, 79, 30, 11, 45, 4, 17
2022/10/12, 92, 26, 10, 37, 4, 16
2022/10/13, 70, 25, 10, 43, 4, 16
2022/10/14, 61, 28, 11, 43, 3, 17
2022/10/15, 74, 22, 11, 26, 3, 15
2022/10/16, 62, 18, 10, 29, 3, 15
2022/10/17, 46, 17, 9, 33, 3, 16
2022/10/18, 45, 23, 11, 35, 3, 17
2022/10/19, 62, 27, 14, 44, 4, 18
2022/10/20, 75, 22, 12, 34, 3, 16
2022/10/21, 56, 20, 10, 47, 4, 17
2022/10/22, 49, 25, 11, 68, 4, 21
2022/10/23, 76, 31, 9, 78, 4, 23
2022/10/24, 94, 35, 9, 87, 3, 24
2022/10/25, 101, 43, 9, 92, 5, 28
2022/10/26, 115, 43, 10, 69, 3, 22
2022/10/27, 116, 30, 9, 36, 4, 19
2022/10/28, 61, 28, 9, 33, 4, 18
2022/10/29, 52, 25, 11, 37, 5, 19
2022/10/30, 52, 32, 13, 74, 5, 24
2022/10/31, 85, 34, 9, 53, 4, 21
2022/11/1, 73, 29, 8, 56, 4, 22
2022/11/2, 71, 37, 7, 95, 5, 28
2022/11/3, 101, 49, 8, 106, 4, 33
2022/11/4, 144, 45, 11, 51, 3, 25
2022/11/5, 120, 28, 8, 29, 3, 21
2022/11/6, 75, 23, 8, 50, 4, 24
2022/11/7, 64, 24, 8, 45, 4, 23
2022/11/8, 63, 22, 6, 43, 4, 20
2022/11/9, 58, 27, 10, 50, 4, 8
2022/11/10, 77, 36, 10, 60, 6, 9
2022/11/11, 90, 36, 9, 59, 4, 10
2022/11/12, 97, 49, 14, 61, 5, 17
2022/11/13, 152, 38, 11, 47, 4, 10
2022/11/14, 112, 34, 12, 57, 5, 11
2022/11/15, 98, 39, 14, 50, 4, 15
2022/11/16, 140, 37, 15, 27, 3, 10
2022/11/17, 119, 20, 15, 24, 3, 9
2022/11/18, 63, 22, 15, 32, 2, 10
2022/11/19, 72, 31, 14, 19, 3, 9
